                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6621,                0.99021,                 1.4908,                 1.7037,                 1.1477,                 1.4807,                0.87862,                0.79097,                0.87375,                0.47162,                  1.601,                0.85638,                  1.581,                 1.6207,                0.87702,                 1.5821,               0.007822,               0.007822,               0.007822
                     25,                 1.6546,                0.98669,                 1.4895,                 1.6933,                 1.1582,                 1.4783,                 0.8994,                0.78736,                0.87467,                0.47733,                 1.5796,                0.84906,                 1.5711,                 1.6106,                0.87642,                 1.5772,               0.007723,               0.007723,               0.007723
                     26,                 1.6475,                0.97515,                 1.4819,                 1.6871,                 1.1369,                 1.4723,                0.88818,                0.79503,                0.88006,                0.47908,                 1.5754,                0.83684,                 1.5642,                 1.6011,                0.86367,                 1.5719,               0.007624,               0.007624,               0.007624
                     27,                 1.6426,                0.96657,                 1.4815,                 1.6816,                 1.1257,                  1.473,                0.90505,                0.77833,                0.87922,                0.48428,                 1.5663,                0.83377,                 1.5596,                 1.5901,                0.86302,                 1.5622,               0.007525,               0.007525,               0.007525
                     28,                 1.6371,                0.96387,                 1.4818,                 1.6744,                 1.1207,                 1.4729,                0.90712,                0.79774,                0.88806,                0.48142,                 1.5772,                0.83191,                 1.5635,                 1.6205,                0.84286,                 1.5769,               0.007426,               0.007426,               0.007426
                     29,                 1.6446,                0.95928,                 1.4763,                 1.6831,                 1.1143,                  1.467,                 0.8948,                0.80254,                0.88292,                0.48563,                 1.5655,                0.82638,                 1.5567,                 1.6016,                  0.839,                 1.5663,               0.007327,               0.007327,               0.007327
                     30,                  1.632,                0.95577,                 1.4718,                 1.6711,                 1.1175,                 1.4608,                0.90035,                0.80766,                0.88941,                0.48849,                 1.5659,                0.81646,                 1.5534,                 1.5959,                0.83817,                 1.5629,               0.007228,               0.007228,               0.007228
                     31,                 1.6275,                0.94923,                  1.467,                 1.6702,                 1.0992,                 1.4575,                 0.9125,                0.79573,                0.89035,                0.48874,                 1.5713,                0.81361,                 1.5583,                 1.6014,                 0.8231,                 1.5631,               0.007129,               0.007129,               0.007129
                     32,                 1.6258,                0.93898,                 1.4676,                  1.679,                 1.0791,                 1.4632,                0.88934,                0.80587,                0.88882,                0.49076,                 1.5551,                0.80067,                 1.5505,                 1.5858,                0.82137,                 1.5554,                0.00703,                0.00703,                0.00703
                     33,                 1.6159,                0.92668,                 1.4629,                 1.6544,                 1.0812,                 1.4538,                0.89689,                 0.8011,                0.89025,                 0.4982,                 1.5389,                0.79784,                 1.5368,                 1.5617,                0.81692,                 1.5394,               0.006931,               0.006931,               0.006931
