                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6248,                0.94737,                 1.4659,                 1.6716,                 1.0919,                 1.4613,                0.64343,                0.42456,                0.47655,                0.23345,                 2.0585,                 1.9628,                 1.9877,                 1.9898,                 2.2873,                 1.9309,               0.007822,               0.007822,               0.007822
                     25,                 1.6144,                0.94464,                 1.4611,                 1.6644,                 1.0931,                 1.4589,                0.57561,                0.37958,                 0.4007,                0.18795,                 2.1902,                 2.1042,                 2.1273,                 2.0756,                 2.4345,                 2.0241,               0.007723,               0.007723,               0.007723
                     26,                 1.6159,                0.93507,                 1.4611,                 1.6643,                 1.0743,                 1.4578,                0.63417,                0.38422,                0.43161,                0.20331,                 2.2206,                 2.1082,                 2.1454,                 2.1026,                 2.4703,                 2.0461,               0.007624,               0.007624,               0.007624
                     27,                 1.6104,                0.92121,                 1.4596,                 1.6577,                 1.0627,                 1.4585,                0.62484,                0.39135,                0.44227,                0.21217,                 2.0371,                 2.0202,                 1.9737,                 1.9619,                 2.3224,                 1.9072,               0.007525,               0.007525,               0.007525
                     28,                 1.5976,                 0.9172,                 1.4527,                 1.6547,                 1.0503,                 1.4544,                0.63383,                0.41434,                0.46521,                0.22412,                 2.0255,                 1.9377,                  1.977,                 1.9696,                 2.2441,                 1.9262,               0.007426,               0.007426,               0.007426
                     29,                 1.6012,                0.91501,                 1.4494,                 1.6533,                 1.0482,                 1.4479,                0.65051,                0.40468,                0.45025,                0.21661,                 2.0345,                 2.0146,                 1.9823,                 1.9584,                 2.3548,                 1.9105,               0.007327,               0.007327,               0.007327
                     30,                 1.5913,                0.90889,                 1.4427,                  1.648,                 1.0353,                 1.4437,                0.65132,                0.44008,                0.48932,                0.24111,                  2.057,                 1.9196,                 1.9983,                 1.9808,                  2.239,                 1.9295,               0.007228,               0.007228,               0.007228
                     31,                 1.5917,                0.90875,                 1.4447,                 1.6471,                 1.0205,                 1.4476,                0.69931,                 0.4314,                0.49953,                0.24469,                 2.0521,                 1.8537,                 2.0036,                 1.9955,                 2.1504,                 1.9506,               0.007129,               0.007129,               0.007129
                     32,                 1.5886,                0.90528,                 1.4441,                 1.6402,                 1.0255,                 1.4429,                0.61826,                0.41737,                 0.4517,                0.22303,                 2.0138,                  2.001,                 1.9623,                 1.9482,                 2.3183,                 1.9096,                0.00703,                0.00703,                0.00703
                     33,                 1.5851,                0.89625,                  1.439,                 1.6403,                 1.0136,                 1.4383,                0.65639,                0.43745,                0.48207,                0.23771,                 2.0496,                 1.9193,                 1.9926,                 2.0004,                 2.2181,                 1.9429,               0.006931,               0.006931,               0.006931
                     34,                  1.575,                0.89712,                 1.4385,                 1.6284,                 1.0182,                 1.4375,                0.63411,                0.42912,                0.47466,                0.23657,                 2.0163,                 1.9554,                 1.9714,                  1.942,                 2.2609,                 1.8993,               0.006832,               0.006832,               0.006832
                     35,                 1.5713,                0.88524,                 1.4328,                 1.6285,                 0.9987,                 1.4347,                 0.6529,                0.43121,                0.47781,                0.23616,                 2.0727,                 1.9293,                 2.0128,                 2.0126,                 2.2335,                 1.9553,               0.006733,               0.006733,               0.006733
                     36,                  1.565,                0.87534,                 1.4285,                 1.6247,                 0.9909,                 1.4309,                0.69242,                0.44381,                0.50544,                0.25152,                 2.0049,                 1.9272,                 1.9569,                 1.9557,                 2.2115,                 1.9038,               0.006634,               0.006634,               0.006634
                     37,                 1.5694,                0.88179,                 1.4327,                 1.6262,                0.99074,                 1.4349,                0.66413,                0.42814,                0.47808,                0.23573,                 2.0423,                 1.9868,                 2.0018,                 1.9638,                 2.3002,                 1.9304,               0.006535,               0.006535,               0.006535
                     38,                 1.5626,                0.87574,                 1.4288,                 1.6211,                0.98335,                   1.43,                0.66788,                0.43991,                0.49731,                 0.2472,                 1.9803,                 1.9437,                 1.9449,                 1.9138,                 2.2258,                 1.8776,               0.006436,               0.006436,               0.006436
                     39,                 1.5539,                0.86873,                 1.4145,                 1.6125,                0.97791,                  1.415,                0.70046,                 0.4266,                0.48843,                0.24033,                 2.0508,                 1.9797,                 2.0039,                 1.9756,                 2.2849,                 1.9337,               0.006337,               0.006337,               0.006337
                     40,                 1.5567,                0.86149,                 1.4211,                 1.6166,                 0.9611,                 1.4229,                0.67223,                0.42571,                0.48227,                0.23865,                 2.0674,                 2.0028,                 2.0137,                 2.0135,                  2.298,                  1.958,               0.006238,               0.006238,               0.006238
                     41,                 1.5514,                0.85877,                 1.4211,                 1.6061,                0.96253,                 1.4223,                0.68465,                0.45018,                0.50998,                0.25459,                 2.0348,                 1.9077,                 1.9863,                 1.9722,                 2.1908,                 1.9264,               0.006139,               0.006139,               0.006139
                     42,                 1.5432,                0.85783,                 1.4168,                 1.6008,                0.96843,                  1.418,                0.68216,                0.42946,                0.48568,                 0.2431,                 2.0281,                 1.9841,                 1.9866,                 1.9783,                 2.2772,                 1.9365,                0.00604,                0.00604,                0.00604
                     43,                 1.5458,                 0.8501,                 1.4187,                 1.6022,                0.94977,                   1.42,                0.67276,                0.43411,                0.48793,                0.24644,                 2.0134,                 1.9875,                 1.9641,                   1.94,                 2.3016,                 1.8954,               0.005941,               0.005941,               0.005941
                     44,                 1.5402,                0.84676,                 1.4156,                 1.5984,                0.94401,                 1.4168,                0.67785,                0.45002,                0.49734,                0.24815,                 2.0293,                 1.9338,                 1.9816,                 1.9712,                 2.2441,                 1.9223,               0.005842,               0.005842,               0.005842
                     45,                 1.5388,                0.84707,                 1.4125,                 1.5936,                0.94789,                 1.4146,                0.69281,                0.45995,                0.51281,                0.25533,                 2.0174,                 1.8985,                 1.9655,                 1.9613,                 2.1917,                 1.9072,               0.005743,               0.005743,               0.005743
