                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.6621,                0.99021,                 1.4908,                 1.7037,                 1.1477,                 1.4807,                0.87116,                0.73409,                0.82984,                0.43015,                 1.7018,                0.96281,                 1.6504,                 1.7125,                 1.0333,                 1.6487,               0.007822,               0.007822,               0.007822
                     25,                 1.6546,                0.98669,                 1.4895,                 1.6933,                 1.1582,                 1.4783,                0.85293,                0.75146,                0.83455,                 0.4371,                 1.6507,                0.95971,                 1.6192,                 1.6692,                 1.0298,                 1.6221,               0.007723,               0.007723,               0.007723
                     26,                 1.6475,                0.97515,                 1.4819,                 1.6871,                 1.1369,                 1.4723,                0.87188,                0.74898,                0.83637,                0.43547,                 1.6669,                0.95704,                 1.6227,                 1.6919,                 1.0313,                  1.634,               0.007624,               0.007624,               0.007624
                     27,                 1.6426,                0.96657,                 1.4815,                 1.6816,                 1.1257,                  1.473,                0.87146,                0.73456,                0.83128,                  0.437,                 1.6628,                0.96114,                 1.6207,                  1.687,                 1.0184,                 1.6275,               0.007525,               0.007525,               0.007525
                     28,                 1.6371,                0.96387,                 1.4818,                 1.6744,                 1.1207,                 1.4729,                0.86052,                0.73814,                0.82221,                0.41269,                 1.7209,                 1.0152,                 1.6657,                 1.7529,                 1.0921,                 1.6799,               0.007426,               0.007426,               0.007426
                     29,                 1.6446,                0.95928,                 1.4763,                 1.6831,                 1.1143,                  1.467,                0.89087,                0.73634,                0.82832,                0.42842,                 1.6789,                 0.9767,                 1.6306,                 1.7216,                 1.0455,                 1.6462,               0.007327,               0.007327,               0.007327
                     30,                  1.632,                0.95577,                 1.4718,                 1.6711,                 1.1175,                 1.4608,                0.86252,                 0.7535,                0.83866,                0.43993,                 1.6669,                0.95373,                 1.6214,                 1.6961,                 1.0279,                 1.6296,               0.007228,               0.007228,               0.007228
                     31,                 1.6275,                0.94923,                  1.467,                 1.6702,                 1.0992,                 1.4575,                0.86617,                0.74357,                0.83171,                0.43311,                 1.7038,                 0.9659,                  1.647,                 1.7348,                 1.0393,                 1.6548,               0.007129,               0.007129,               0.007129
                     32,                 1.6258,                0.93898,                 1.4676,                  1.679,                 1.0791,                 1.4632,                0.86487,                0.76862,                0.84646,                0.45067,                 1.6449,                0.91452,                 1.6089,                 1.6729,                0.97786,                 1.6141,                0.00703,                0.00703,                0.00703
                     33,                 1.6159,                0.92668,                 1.4629,                 1.6544,                 1.0812,                 1.4538,                0.87838,                0.75485,                0.84465,                0.45369,                 1.6366,                0.92685,                 1.6039,                 1.6571,                0.99317,                 1.6101,               0.006931,               0.006931,               0.006931
                     34,                 1.6087,                0.92128,                 1.4604,                  1.649,                 1.0704,                 1.4531,                0.88237,                0.74718,                0.84393,                0.45187,                 1.6391,                0.92615,                  1.604,                 1.6665,                0.98689,                 1.6121,               0.006832,               0.006832,               0.006832
                     35,                 1.6084,                0.91949,                  1.454,                 1.6554,                 1.0545,                 1.4493,                0.87476,                0.75679,                0.84952,                0.45469,                 1.6411,                0.90937,                 1.6051,                 1.6732,                0.98254,                 1.6168,               0.006733,               0.006733,               0.006733
                     36,                 1.6074,                0.91758,                 1.4601,                 1.6567,                 1.0571,                 1.4551,                0.88183,                0.75756,                0.84764,                0.45478,                 1.6329,                0.90687,                 1.6009,                 1.6759,                0.95379,                 1.6149,               0.006634,               0.006634,               0.006634
                     37,                 1.5972,                 0.9091,                 1.4512,                 1.6473,                  1.053,                 1.4478,                0.88017,                0.76273,                0.84782,                0.45619,                 1.6215,                0.90909,                 1.5957,                   1.66,                0.96111,                 1.6043,               0.006535,               0.006535,               0.006535
                     38,                 1.5977,                0.90465,                 1.4504,                  1.649,                 1.0374,                 1.4475,                0.86212,                0.76524,                0.84256,                0.44651,                 1.6523,                0.91752,                 1.6186,                 1.7086,                0.96872,                 1.6348,               0.006436,               0.006436,               0.006436
                     39,                 1.5927,                0.90129,                 1.4452,                 1.6368,                 1.0493,                 1.4384,                0.87902,                0.75119,                 0.8412,                0.45253,                 1.6346,                0.92736,                 1.5987,                 1.6771,                0.99868,                   1.61,               0.006337,               0.006337,               0.006337
                     40,                 1.5884,                0.89088,                 1.4461,                 1.6331,                 1.0293,                 1.4394,                 0.8682,                0.76135,                0.84665,                0.45463,                 1.6299,                0.92329,                 1.5914,                 1.6678,                0.98056,                 1.6019,               0.006238,               0.006238,               0.006238
                     41,                 1.5899,                0.89475,                 1.4448,                 1.6419,                 1.0262,                 1.4425,                0.88586,                0.76163,                0.85158,                0.46088,                 1.6164,                0.90132,                 1.5878,                 1.6553,                0.95023,                 1.5992,               0.006139,               0.006139,               0.006139
                     42,                 1.5845,                0.89164,                 1.4453,                  1.634,                 1.0252,                 1.4415,                0.86796,                0.76704,                0.85227,                0.46101,                 1.6218,                0.89245,                 1.5894,                 1.6603,                 0.9487,                 1.6019,                0.00604,                0.00604,                0.00604
                     43,                 1.5818,                 0.8854,                 1.4394,                 1.6295,                 1.0144,                 1.4344,                0.88201,                0.78294,                0.86068,                 0.4659,                 1.6154,                0.87773,                  1.584,                 1.6588,                 0.9124,                 1.5971,               0.005941,               0.005941,               0.005941
                     44,                 1.5747,                0.87717,                 1.4373,                  1.622,                 1.0115,                 1.4305,                0.86741,                 0.7709,                0.85229,                0.46303,                 1.6126,                  0.885,                 1.5838,                 1.6411,                0.94514,                   1.59,               0.005842,               0.005842,               0.005842
                     45,                 1.5753,                0.87924,                 1.4384,                 1.6295,                 1.0026,                 1.4356,                 0.8768,                0.76614,                0.85377,                0.46282,                 1.6238,                0.89078,                 1.5912,                 1.6528,                0.93632,                 1.5986,               0.005743,               0.005743,               0.005743
                     46,                 1.5734,                0.87237,                  1.434,                 1.6199,                 1.0124,                 1.4303,                0.88085,                0.77246,                0.85478,                0.46498,                 1.6207,                0.89442,                 1.5899,                 1.6479,                0.95137,                 1.5966,               0.005644,               0.005644,               0.005644
